Resort ID,Resort Name,Continent,Country,State/Province,Country Code
77,. Patscherkofel – Innsbruck-Igls,Europe,Austria,Tyrol (Tirol),AT
78,. Mönichkirchen/Mariensee,Europe,Austria,Lower Austria (Niederosterreich),AT
79,Sportgastein,Europe,Austria,Salzburg (Salzburger Land),AT
80,Grossglockner Heiligenblut,Europe,Austria,Carinthia (Karnten),AT
81,. Rosshütte – Seefeld,Europe,Austria,Tyrol (Tirol),AT
82, Sonnenkopf – Klösterle,Europe,Austria,Vorarlberg,AT
83,. Hochkössen (Unterberghorn) – Kössen,Europe,Austria,Tyrol (Tirol),AT
84,. Vent,Europe,Austria,Tyrol (Tirol),AT
85, Weissee Gletscherwelt – Uttendorf,Europe,Austria,Salzburg (Salzburger Land),AT
86,. Werfenweng,Europe,Austria,Salzburg (Salzburger Land),AT
87,. Venet – Landeck/Zams/Fliess,Europe,Austria,Tyrol (Tirol),AT
88, Rifflsee,Europe,Austria,Tyrol (Tirol),AT
89,. Biberwier – Marienberg,Europe,Austria,Tyrol (Tirol),AT
90,. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,Europe,Austria,Vorarlberg,AT
91,. Muttereralm – Mutters/Götzens,Europe,Austria,Tyrol (Tirol),AT
92,. Wurzeralm – Spital am Pyhrn,Europe,Austria,Upper Austria (Oberosterreich),AT
93,. Ramsau am Dachstein – Rittisberg,Europe,Austria,Styria (Steiermark),AT
94,. Jöchelspitze – Bach,Europe,Austria,Tyrol (Tirol),AT
95,. Grebenzen – St. Lambrecht,Europe,Austria,Styria (Steiermark),AT
96, Ankogel – Mallnitz,Europe,Austria,Carinthia (Karnten),AT
97,. Feuerkogel – Ebensee,Europe,Austria,Upper Austria (Oberosterreich),AT
98,. Fanningberg,Europe,Austria,Salzburg (Salzburger Land),AT
99,. Laterns – Gapfohl,Europe,Austria,Vorarlberg,AT
100,. Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,Europe,Austria,Tyrol (Tirol),AT
101,. Monte Popolo – Eben im Pongau,Europe,Austria,Salzburg (Salzburger Land),AT
102,. Hahnenkamm – Höfen/Reutte,Europe,Austria,Tyrol (Tirol),AT
103,goldeck-spittal-an-der-drau,Europe,Austria,Carinthia (Karnten),AT
104,Nordkette – Innsbruck,Europe,Austria,Tyrol (Tirol),AT
105,. Rangger Köpfl – Oberperfuss,Europe,Austria,Tyrol (Tirol),AT
106,. Zauberberg Semmering,Europe,Austria,Lower Austria (Niederosterreich),AT
107,. Gschwandtkopf – Seefeld,Europe,Austria,Tyrol (Tirol),AT
108,. Jungholz,Europe,Austria,Tyrol (Tirol),AT
109,stuhleck-spital-am-semmering,Europe,Austria,Styria (Steiermark),AT
110,markbachjochlanerkoepfl-niederau,Europe,Austria,Tyrol (Tirol),AT
111,innerkrems-kremsbruecke-krems-in-kaernten,Europe,Austria,Carinthia (Karnten),AT
112,. Kristberg – Silbertal,Europe,Austria,Vorarlberg,AT
113,. Reith bei Kitzbühel,Europe,Austria,Tyrol (Tirol),AT
114,. Schetteregg – Egg,Europe,Austria,Vorarlberg,AT
115,. Neunerköpfle – Tannheim,Europe,Austria,Tyrol (Tirol),AT
116,. Füssener Jöchle – Grän,Europe,Austria,Tyrol (Tirol),AT
117,praebichl-vordernberg,Europe,Austria,Styria (Steiermark),AT
118,petzen-feistritz-ob-bleiburg,Europe,Austria,Carinthia (Karnten),AT
119,kitzbueheler-horn,Europe,Austria,Tyrol (Tirol),AT
120,kasberg-gruenau-im-almtal,Europe,Austria,Upper Austria (Oberosterreich),AT
121,hoch-imst-imst,Europe,Austria,Tyrol (Tirol),AT
122,galsterberg-pruggern,Europe,Austria,Styria (Steiermark),AT
123,. Dachstein Glacier (Dachsteingletscher),Europe,Austria,Styria (Steiermark),AT
124,. Hochstein – Lienz,Europe,Austria,Tyrol (Tirol),AT
125,. Karwendel Bergbahn (Zwölferkopf) – Pertisau,Europe,Austria,Tyrol (Tirol),AT
126,. Rofan – Maurach,Europe,Austria,Tyrol (Tirol),AT
127,obertilliach-golzentipp,Europe,Austria,Tyrol (Tirol),AT
128,karkogel-abtenau,Europe,Austria,Salzburg (Salzburger Land),AT
129,hochkar-goestling,Europe,Austria,Lower Austria (Niederosterreich),AT
130,gemeindealpe-mitterbach-am-erlaufsee,Europe,Austria,Lower Austria (Niederosterreich),AT
131,gaissau-hintersee,Europe,Austria,Salzburg (Salzburger Land),AT
132,buergeralpe-mariazell,Europe,Austria,Styria (Steiermark),AT
133,arnoldstein-dreilaendereck,Europe,Austria,Carinthia (Karnten),AT
134,. Kelchsau,Europe,Austria,Tyrol (Tirol),AT
135,. Kellerjoch – Schwaz,Europe,Austria,Tyrol (Tirol),AT
136,planneralm-donnersbach,Europe,Austria,Styria (Steiermark),AT
137,oetscher-lackenhof-gaming,Europe,Austria,Lower Austria (Niederosterreich),AT
138,klippitztoerl,Europe,Austria,Carinthia (Karnten),AT
139,fendels,Europe,Austria,Tyrol (Tirol),AT
140,boedele-schwarzenberg,Europe,Austria,Vorarlberg,AT
141,. Burglift – Stans,Europe,Austria,Tyrol (Tirol),AT
142,. Heutal – Unken,Europe,Austria,Salzburg (Salzburger Land),AT
143,. Tirolina (Haltjochlift) – Hinterthiersee,Europe,Austria,Tyrol (Tirol),AT
144,. Hohe Wand Wiese – Vienna (High Hills),Europe,Austria,Vienna (Wien),AT
