Resort ID,NameResort,Rate,Stars
141,. Burglift – Stans,2.7,1.0
142,. Heutal – Unken,2.7,1.0
143,. Tirolina (Haltjochlift) – Hinterthiersee,1.0,2.0
144,. Hohe Wand Wiese – Vienna (High Hills),1.0,1.0
145,. Trins,1.0,1.0
146,. Alfaierlift – Gschnitz,1.0,1.0
147,. Archenstadel – Rinn,1.0,1.0
148,. Kramsach,1.0,1.0
149,. Sternstein – Bad Leonfelden,2.0,1.0
150,. Schneeberglifte – Mitterland (Thiersee),1.0,1.0
434,Arosa Lenzerheide,4.7,5.0
435,St. Moritz – Corviglia,4.7,5.0
436,Laax/Flims/Falera,4.5,5.0
437,Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn,4.5,5.0
438, Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn,4.4,4.0
439,Andermatt/Oberalp/Sedrun,4.4,5.0
440,Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch,4.4,5.0
441, Scuol – Motta Naluns,4.3,4.0
442,Titlis – Engelberg,4.3,5.0
443,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,4.3,5.0
444,Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,4.3,5.0
445,Flumserberg,4.2,5.0
446,Obersaxen/Mundaun/Val Lumnezia,4.2,5.0
447,Jakobshorn (Davos Klosters),4.2,5.0
448,Kleine Scheidegg/Männlichen – Grindelwald/Wengen,4.2,5.0
449,Parsenn (Davos Klosters),4.2,5.0
450,Corvatsch/Furtschellas,4.1,5.0
451, First – Grindelwald,4.0,4.0
452, Saas-Fee,4.0,4.0
453,. Rinderberg/Saanerslochgrat/Horneggli – Zweisimmen/Saanenmöser/Schönried/St. Stephan,4.0,3.0
454, Stoos – Fronalpstock/Klingenstock,3.9,4.0
455,. Hohsaas – Saas-Grund,3.8,3.0
456, Pizol – Bad Ragaz/Wangs,3.8,4.0
457, Hoch-Ybrig – Unteriberg/Oberiberg,3.8,4.0
458,Lauchernalp – Lötschental,3.8,5.0
459, Meiringen-Hasliberg,3.8,4.0
460, Brigels/Waltensburg/Andiast,3.8,4.0
462, Elm im Sernftal,3.7,4.0
463, Madrisa (Davos Klosters),3.7,4.0
464,Disentis,3.7,5.0
465, Crans-Montana,3.7,4.0
466,Schilthorn – Mürren/Lauterbrunnen,3.7,5.0
467,. Zuoz – Pizzet/Albanas,3.6,3.0
468, Grüsch Danusa,3.6,4.0
469,Gemsstock – Andermatt,3.6,5.0
470,Diavolezza/Lagalb,3.6,5.0
471,. Savognin,3.6,3.0
472,. Rinerhorn (Davos Klosters),3.5,3.0
473, Splügen – Tambo,3.5,4.0
474, Bellwald,3.5,4.0
478,. Grächen,3.4,2.0
480, Bürchen/Törbel – Moosalp,3.3,4.0
485, Vals 3000 – Dachberg,3.2,4.0
492,. Leukerbad,3.1,3.0
531,. Aela – Maloja,1.0,3.0
532,. Pontresina,1.0,1.0
767, Val Gardena (Gröden),4.7,4.0
768,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,4.6,5.0
769, Kronplatz (Plan de Corones),4.5,4.0
770, Latemar – Obereggen/Pampeago/Predazzo,4.4,4.0
771, Klausberg – Skiworld Ahrntal,4.3,4.0
772, 3 Zinnen Dolomites – Helm/Stiergarten/Rotwand/Kreuzbergpass,4.3,4.0
773,. Alpe di Siusi (Seiser Alm),4.3,3.0
774,Livigno,4.3,5.0
775,. Alta Badia,4.3,3.0
776, Belpiano (Schöneben)/Malga San Valentino (Haideralm),4.2,4.0
777, Carezza,4.2,4.0
778, Gitschberg Jochtal,4.2,4.0
779,Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale),4.2,5.0
780, Speikboden – Skiworld Ahrntal,4.2,4.0
781, Passo San Pellegrino/Falcade,4.2,4.0
782, Belvedere/Col Rodella/Ciampac/Buffaure – Canazei/Campitello/Alba/Pozza di Fassa,4.2,4.0
783,Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre,4.2,5.0
784,. Paganella – Andalo,4.1,3.0
785,Arabba/Marmolada,4.1,5.0
786,. San Martino di Castrozza,4.0,3.0
787,. Racines-Giovo (Ratschings-Jaufen)/Malga Calice (Kalcheralm),4.0,3.0
788,. Folgaria/Fiorentini,4.0,3.0
789,. Civetta – Alleghe/Selva di Cadore/Palafavera/Zoldo,4.0,3.0
790, Plose – Brixen (Bressanone),4.0,4.0
791,Alagna Valsesia/Gressoney-La-Trinité/Champoluc/Frachey (Monterosa Ski),4.0,5.0
792,Cortina d'Ampezzo,4.0,5.0
793,. Alpe Lusia – Moena/Bellamonte,4.0,3.0
794,. Ladurns,3.8,3.0
795,. Monte Bondone,3.8,3.0
796,. Alpe Cermis – Cavalese,3.8,3.0
797,. Rosskopf (Monte Cavallo) – Sterzing (Vipiteno),3.7,3.0
798,. Pejo 3000,3.7,3.0
799,. Catinaccio/Ciampedie – Vigo di Fassa/Pera di Fassa,3.7,3.0
800,. Meran 2000,3.7,3.0
801, Val Senales Glacier (Schnalstaler Gletscher),3.7,4.0
802, Schwemmalm,3.7,4.0
803, Sulden am Ortler (Solda all'Ortles),3.7,4.0
804,. Reinswald (San Martino in Sarentino),3.6,3.0
805,. Pfelders (Moos in Passeier),3.6,3.0
808,. Watles – Malles Venosta (Mals),3.5,2.0
809, Bormio – Cima Bianca,3.5,4.0
811,. Lavarone,3.4,2.0
816,. Santa Caterina Valfurva,3.2,3.0
827,. San Vito di Cadore,3.0,2.0
841,. Passo dello Stelvio (Stelvio Pass),2.9,2.0
872,. Vigiljoch (Monte San Vigilio) – Lana,2.7,1.0
873,. Feldthurns (Velturno),1.0,1.0
1058,Les 3 Vallées – Val Thorens/Les Menuires/Méribel/Courchevel,4.6,5.0
1059,Tignes/Val d'Isère,4.6,5.0
1060,Serre Chevalier – Briançon/Chantemerle/Villeneuve-la-Salle/Le Monêtier-les-Bains,4.4,5.0
1061,La Plagne (Paradiski),4.4,5.0
1062,Les 2 Alpes,4.3,5.0
1063,Saint-Lary-Soulan,4.2,5.0
1064,Alpe d'Huez,4.2,5.0
1065,Megève/Saint-Gervais,4.1,5.0
1066,Les Arcs/Peisey-Vallandry (Paradiski),4.1,5.0
1067,Le Grand Massif – Flaine/Les Carroz/Morillon/Samoëns/Sixt,4.1,5.0
1068, Espace Diamant – Les Saisies/Notre-Dame-de-Bellecombe/Praz sur Arly/Flumet/Crest-Voland,4.1,4.0
1069, Les Angles,4.0,4.0
1070, Peyragudes,4.0,4.0
1071, Les Sybelles – Le Corbier/La Toussuire/Les Bottières/St Colomban des Villards/St Sorlin/St Jean d’Arves,4.0,4.0
1082, Isola 2000,3.7,4.0
1083,. Les Houches/Saint-Gervais – Prarion/Bellevue (Chamonix),3.7,3.0
1084,Brévent/Flégère (Chamonix),3.7,5.0
1085, Grand Tourmalet/Pic du Midi – La Mongie/Barèges,3.7,4.0
1086, Auron (Saint-Etienne-de-Tinée),3.6,4.0
1091,Grands Montets – Argentière (Chamonix),3.5,5.0
1164,. Les Planards,2.7,1.0
1165,. Le Tourchet,1.0,1.0
1166,. Amnéville-Les-Thermes – Snowhall (indoor ski area),1.0,1.0
1309,Grandvalira – Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp,4.4,5.0
1310,. Pal/Arinsal – La Massana (Vallnord),3.7,3.0
1311,Ordino Arcalís,3.5,5.0
1312,. Levi,4.3,3.0
1313,. Ylläs,4.0,3.0
1314,. Pyhä,4.0,3.0
1315,. Ruka,4.0,2.0
1316,. Ounasvaara – Rovaniemi,3.3,2.0
1394, La Molina/Masella – Alp2500,4.3,4.0
1395, Baqueira/Beret,4.2,4.0
1396, Cerler,4.0,4.0
1397,Formigal,4.0,5.0
1430, Bansko,4.2,4.0
1431, Borovets,3.7,4.0
1432,. Pamporovo,3.6,3.0
1433,. Vitosha/Aleko – Sofia,3.1,3.0
1434,. Mechi Chal – Chepelare,3.0,3.0
1450, Kopaonik,4.2,4.0
