Resort_ID,Resort_Name,Continent,Country,State_Province,Latitude,Longitude,Country_Code
61, Ifen,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
62,. Christlum – Achenkirch,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
63,. Bergeralm – Steinach am Brenner,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
64, Moelltal Glacier (Mölltaler Gletscher),Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
65,. Lachtal,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
66, Gargellen,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
67,. Berwang/Bichlbach/Rinnen,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
68,. Rauriser Hochalmbahnen – Rauris,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
69,. Grosseck/Speiereck – Mauterndorf/St. Michael,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
70,. Flachauwinkl/Kleinarl (Shuttleberg),Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
71,. Gerlitzen,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
72, Kappl,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
73, Diedamskopf – Schoppernau,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
74,. Zettersfeld – Lienz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
75,. Glungezer – Tulfes,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
76,. Hochficht,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
77,. Patscherkofel – Innsbruck-Igls,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
78,. Mönichkirchen/Mariensee,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
79,Sportgastein,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
80,Grossglockner Heiligenblut,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
81,. Rosshütte – Seefeld,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
82, Sonnenkopf – Klösterle,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
83,. Hochkössen (Unterberghorn) – Kössen,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
84,. Vent,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
85, Weissee Gletscherwelt – Uttendorf,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
86,. Werfenweng,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
87,. Venet – Landeck/Zams/Fliess,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
88, Rifflsee,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
89,. Biberwier – Marienberg,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
90,. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
91,. Muttereralm – Mutters/Götzens,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
92,. Wurzeralm – Spital am Pyhrn,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
93,. Ramsau am Dachstein – Rittisberg,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
94,. Jöchelspitze – Bach,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
95,. Grebenzen – St. Lambrecht,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
96, Ankogel – Mallnitz,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
97,. Feuerkogel – Ebensee,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
98,. Fanningberg,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
99,. Laterns – Gapfohl,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
100,. Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
101,. Monte Popolo – Eben im Pongau,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
